ID ,Smiles,MolWeight,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRLOW,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,EState_VSA5,fr_Ar_COO,VSA_EState9,Enhancement Factor
1,CC(C)Cc1ccc(cc1)C(C)C(=O)O,206.285,10.76242507,0.418425926,-0.771657796,0.821599549,12.8,1.2,16.3664048,-0.137862069,0,0,0,5.563451492,0,0,30
2,CC(C)C1C(=O)CC2C(C1O)(CC(C1=CC(=O)C=C2C1(C)O)F)C(=O)CO,380.412,15.25799745,0.05699641,-1.871468254,0.664040844,41.62962963,1.296296296,19.14421168,-0.164596756,11.56648989,0,0,6.9237372,0,0,10
3,CN1NS(=O)(=O)C2=C(O)C=CN=C2C1=O,229.217,11.54481481,0.28125,-3.91224537,0.598124016,18.73333333,1.533333333,32.23329003,0.074212996,10.58941147,0,15.93047088,13.24451555,0,-2.653762283,4.347826087
4,CC(=O)C1(CCC2C1(CCC1C(C2CC(C1O)O)O)C)O,298.379,12.03119174,0.007916667,-1.342488662,0.555623228,56.66666667,1.047619048,16.33494886,-0.153035448,5.783244946,0,0,6.9237372,0,0,71.4
5,CCCSC1=CC=C2C=C1N=C(C(=O)OC)N2,250.323,11.42247914,0.249026361,-0.441443032,0.659161362,12.70588235,1.529411765,32.16653546,-0.132208476,0,5.835619786,0,7.109797541,0,1.349468616,600
6,CC(C)C[C@H](C(=O)NCc1ccc(cc1)c1ccccc1C(=N)N=N)NC(=O)CCC(=O)O,451.527,12.67284043,0.121725886,-1.062953558,0.200442579,11.48484848,1.03030303,16.36533125,-0.138643789,5.835619786,11.81435946,0,0,0,0,590.783
7,CCOC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C)C(=O)OCC,374.393,12.59248528,0.137446906,-0.799716553,0.463169514,16.66666667,1.111111111,16.62863138,-0.385214297,0,0,5.687386275,6.066367068,0,0,44.8
8,COCCOC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C)C(=O)OCCOC,434.445,12.88039616,0.018248746,-0.872342556,0.255149192,16.06451613,1,16.62890304,-0.385214502,0,0,5.687386275,26.35232922,0,2.959467408,22
9,O=C1Nc2ccccc2C2=CC=CC=C2C1=O,223.231,11.89301682,0.453657407,-0.581111111,0.592762149,10.82352941,0.705882353,16.16353027,1.29494791,0,0,10.98805729,0,0,0,45.6
10,CC1=NC(C)=NC(OCC2CCC(OC3=NC(N4CCN(C)CC4)=NC(C4=CC=C(Cl)C=C4Cl)=N3)CC2)=N1,559.502,6.502591909,0.017771374,0.017771374,0.413592467,20.39473684,0.842105263,35.49683731,0.099251514,5.824404498,5.948339281,0,0,0,2.116804805,27000
11,CC(C)CC(CC=C)C(=O)OC[C@@H]1CC[C@@H](CC1)C(=O)OC(C)C,338.488,12.26103111,0.008154405,-0.106536139,0.457810003,22.25,1.125,16.54404531,-0.155623002,0,0,0,0,0,0,6
12,COc1ccc(cc1)/C=C/C(=O)CC(=O)/C=C/c1ccc(cc1)OC,336.387,11.86198968,0.153462931,-0.235926878,0.540763319,10.96,0.72,16.46756012,-0.121390021,11.56648989,0,0,12.15204021,0,3.193337149,206
13,COc1ccc2c(c1)n(c(c2C(=O)O)C(=O)c1ccc(cc1)Cl)C,343.766,12.86931272,0.018423091,-1.149925586,0.732066112,10.79166667,1.125,35.49569157,0.069412512,0,5.783244946,0,7.109797541,1,3.193803132,10
